sample_id,ambient_temp_C,coal_surface_temp_C,delta_T_C,delta_T_rate_per_hr,humidity_pct,solar_radiation_Wm2,wind_speed_kmh,rainfall_last_24h_mm,soil_moisture_pct,coal_surface_moisture_pct,pile_age_days,coal_type_volatile_pct,pile_compaction,crack_width_mm,hotspot_detected,vegetation_stress_index,shc_risk,data_source
SYN-00026,37.3,64.7,27.48,2.211,45.6,791.9,5.6,0.0,10.3,4.4,59,26.6,0,4.77,0,1,1,synthetic_physics_based
SYN-00027,24.4,38.0,13.61,0.378,73.8,407.3,17.6,10.7,12.4,7.1,13,31.7,1,1.12,0,0,0,synthetic_physics_based
SYN-00028,31.3,55.3,24.0,1.962,88.9,190.7,3.0,29.4,3.3,3.7,86,23.8,0,4.94,0,1,0,synthetic_physics_based
SYN-00029,33.0,64.8,31.73,2.767,45.4,714.2,14.5,0.0,4.6,2.6,81,35.0,0,0.46,1,1,1,synthetic_physics_based
SYN-00030,21.0,46.1,25.13,2.694,69.3,374.4,2.5,0.0,7.9,6.1,86,26.8,1,3.73,0,2,1,synthetic_physics_based
SYN-00031,33.4,60.9,27.51,3.449,41.9,654.1,12.7,13.8,13.5,7.1,62,37.4,0,1.33,0,2,1,synthetic_physics_based
SYN-00032,23.8,39.2,15.44,1.404,63.9,293.6,7.4,0.0,17.6,10.2,8,37.1,0,0.57,0,0,0,synthetic_physics_based
SYN-00033,21.4,26.6,5.13,1.264,57.8,123.1,15.9,1.4,16.0,8.9,45,33.5,1,1.94,0,1,0,synthetic_physics_based
SYN-00034,40.9,58.9,17.99,1.363,88.3,943.3,5.1,4.6,13.8,11.2,18,36.6,0,1.77,0,0,0,synthetic_physics_based
SYN-00035,41.2,67.1,25.85,2.249,66.5,190.6,13.0,0.0,10.5,5.6,88,32.1,0,1.54,0,2,0,synthetic_physics_based
SYN-00036,37.8,70.8,33.02,3.378,51.0,939.6,5.1,0.0,19.5,11.9,60,35.9,1,1.12,1,2,1,synthetic_physics_based
SYN-00037,26.7,53.0,26.31,0.694,36.8,929.6,14.4,20.9,11.7,6.8,60,22.7,0,4.29,0,1,0,synthetic_physics_based
SYN-00038,22.1,34.4,12.29,0.385,39.1,764.4,17.5,12.2,8.7,6.5,2,24.9,1,0.45,0,0,0,synthetic_physics_based
SYN-00039,35.1,62.4,27.37,2.581,43.5,643.5,3.0,0.0,15.0,9.2,66,33.1,0,2.75,0,2,1,synthetic_physics_based
SYN-00040,29.7,42.7,13.0,1.227,45.1,570.0,17.4,0.0,16.2,9.4,14,26.5,1,1.69,0,0,0,synthetic_physics_based
SYN-00041,22.7,51.3,28.6,3.212,81.0,829.5,12.1,0.0,10.6,4.1,48,34.7,0,5.2,0,0,1,synthetic_physics_based
SYN-00042,30.9,59.3,28.37,0.488,63.7,310.5,3.0,0.0,3.5,1.0,56,35.6,0,0.24,0,2,1,synthetic_physics_based
SYN-00043,20.8,37.7,16.92,0.308,61.4,470.9,8.8,0.0,4.8,1.7,12,24.0,0,1.62,0,0,0,synthetic_physics_based
SYN-00044,40.0,66.3,26.32,2.341,36.9,607.5,3.6,0.0,19.1,10.0,55,34.5,1,4.5,0,0,1,synthetic_physics_based
SYN-00045,25.7,35.2,9.48,1.4,81.6,420.1,14.2,5.5,4.1,2.4,28,21.1,1,0.92,0,0,0,synthetic_physics_based
SYN-00046,34.6,57.7,23.15,3.817,73.4,434.7,15.3,0.9,14.2,6.9,89,24.7,0,1.06,0,2,1,synthetic_physics_based
SYN-00047,26.9,28.0,1.16,0.569,34.1,347.3,2.6,0.0,6.5,1.0,4,28.4,1,0.88,0,0,0,synthetic_physics_based
SYN-00048,31.4,50.7,19.26,1.372,72.5,557.8,10.4,0.0,7.3,5.6,36,22.5,0,2.4,0,0,0,synthetic_physics_based
SYN-00049,32.0,56.8,24.81,1.828,62.6,815.5,16.4,0.0,8.2,5.2,50,29.6,1,1.12,0,1,0,synthetic_physics_based
SYN-00050,24.1,30.2,6.13,1.069,34.9,231.4,18.8,0.0,3.7,2.1,3,29.6,0,1.59,0,0,0,synthetic_physics_based
SYN-00051,41.3,56.9,15.58,0.151,57.5,891.0,10.5,0.0,6.4,5.4,1,22.1,1,1.35,0,0,0,synthetic_physics_based
SYN-00052,37.1,49.6,12.51,0.667,59.1,670.2,19.0,0.0,15.4,7.2,17,33.9,1,1.02,0,0,0,synthetic_physics_based
SYN-00053,40.7,67.7,27.01,2.145,39.9,790.9,10.9,20.7,12.5,6.7,71,30.6,1,5.3,0,1,0,synthetic_physics_based
SYN-00054,39.7,58.9,19.24,1.66,86.7,550.6,8.2,7.9,18.1,10.2,62,24.4,0,6.41,0,1,0,synthetic_physics_based
SYN-00055,33.2,55.9,22.71,1.602,81.0,751.6,17.0,0.0,4.2,1.7,48,22.6,0,4.22,0,0,0,synthetic_physics_based
SYN-00056,40.3,59.0,18.75,3.439,70.1,64.6,10.1,0.0,19.9,9.7,62,35.6,1,1.68,0,2,1,synthetic_physics_based
SYN-00057,21.9,46.9,24.97,3.44,57.7,786.5,9.7,0.0,21.9,13.4,69,34.7,0,1.7,0,1,1,synthetic_physics_based
SYN-00058,24.3,25.1,0.78,0.834,54.7,86.1,10.1,0.0,3.3,2.2,19,22.6,0,0.26,0,0,0,synthetic_physics_based
SYN-00059,21.0,38.6,17.57,1.314,69.1,850.9,17.0,0.0,21.4,12.7,34,18.7,0,0.2,0,0,0,synthetic_physics_based
SYN-00060,27.2,55.6,28.44,2.449,62.7,942.8,16.7,0.0,7.5,2.9,49,34.1,0,1.41,0,0,0,synthetic_physics_based
SYN-00061,28.6,55.4,26.88,0.42,33.7,314.7,8.4,0.0,16.2,10.1,80,30.3,0,5.55,0,1,1,synthetic_physics_based
SYN-00062,26.0,37.6,11.64,0.577,60.8,239.3,7.0,0.0,8.6,3.8,47,20.0,1,1.56,0,0,0,synthetic_physics_based
SYN-00063,38.2,60.6,22.39,1.912,78.4,738.8,10.1,20.0,12.9,7.5,50,29.7,1,2.39,0,0,0,synthetic_physics_based
SYN-00064,27.8,50.4,22.5,3.449,57.6,277.7,11.7,22.0,12.7,10.0,89,27.0,1,0.62,0,2,0,synthetic_physics_based
SYN-00065,26.2,47.2,21.02,1.148,33.1,829.0,5.1,0.0,9.9,6.7,26,33.5,0,1.74,0,0,0,synthetic_physics_based
SYN-00066,31.9,46.0,14.09,0.425,77.2,142.6,16.0,25.9,16.6,9.7,56,22.2,1,2.07,0,1,0,synthetic_physics_based
SYN-00067,23.1,41.6,18.54,1.846,42.1,163.4,10.0,0.0,14.4,9.9,78,27.1,1,1.78,0,2,0,synthetic_physics_based
SYN-00068,37.6,50.5,12.81,0.495,45.5,931.2,7.0,0.0,12.7,6.1,14,21.1,1,0.18,0,0,0,synthetic_physics_based
SYN-00069,21.6,55.3,33.69,3.724,39.9,656.5,2.6,16.2,21.7,12.7,78,37.2,0,6.14,1,1,1,synthetic_physics_based
SYN-00070,41.7,58.8,17.1,0.783,49.8,812.2,5.2,2.9,20.9,10.2,25,33.6,1,0.95,0,0,0,synthetic_physics_based
SYN-00071,37.0,44.6,7.62,0.626,75.4,341.9,19.0,0.0,21.2,11.1,4,32.7,1,0.58,0,0,0,synthetic_physics_based
SYN-00072,24.4,61.3,36.9,3.285,61.2,658.8,6.4,0.0,19.7,13.2,79,31.8,1,5.47,1,1,1,synthetic_physics_based
SYN-00073,20.1,30.9,10.76,1.15,42.3,584.8,3.8,0.0,7.8,4.7,32,26.5,0,1.52,0,0,0,synthetic_physics_based
SYN-00074,37.9,76.4,38.44,1.044,82.7,592.8,9.5,29.7,9.6,7.4,82,36.5,0,3.0,1,2,0,synthetic_physics_based
SYN-00075,35.6,60.3,24.79,2.122,82.8,664.3,6.5,0.0,7.4,3.9,78,19.5,0,4.06,0,2,1,synthetic_physics_based
SYN-00076,36.0,67.5,31.51,2.905,82.2,567.8,1.2,0.0,21.7,13.8,65,34.1,1,4.17,1,2,1,synthetic_physics_based
SYN-00077,37.0,53.3,16.28,0.409,44.3,436.2,6.8,18.3,5.9,3.3,61,22.3,0,0.67,0,1,0,synthetic_physics_based
SYN-00078,21.6,24.6,2.93,1.112,57.1,298.3,11.1,0.0,10.0,5.7,20,24.5,1,0.85,0,0,0,synthetic_physics_based
SYN-00079,27.9,57.5,29.63,0.951,89.1,741.7,11.3,0.0,6.8,3.8,74,28.4,1,3.46,0,2,1,synthetic_physics_based
SYN-00080,22.5,34.9,12.36,1.458,76.3,253.6,7.5,23.2,7.2,4.5,10,33.7,1,0.85,0,0,0,synthetic_physics_based
SYN-00081,39.0,70.4,31.44,3.84,31.6,673.1,9.2,0.0,7.7,3.8,88,34.8,1,5.08,1,2,1,synthetic_physics_based
SYN-00082,33.7,42.4,8.72,0.184,33.9,260.0,19.3,0.0,15.2,6.3,34,29.7,1,0.59,0,0,0,synthetic_physics_based
SYN-00083,27.3,52.3,25.04,0.451,57.8,612.8,7.9,20.1,4.4,2.4,61,26.1,1,3.28,0,1,0,synthetic_physics_based
SYN-00084,21.4,38.9,17.52,0.277,84.6,722.4,5.5,0.0,13.9,7.8,27,36.9,0,1.54,0,0,0,synthetic_physics_based
SYN-00085,26.8,44.9,18.07,0.793,62.3,246.8,5.2,0.0,18.6,12.7,40,22.9,1,5.15,0,0,0,synthetic_physics_based
SYN-00086,27.2,49.5,22.38,1.678,59.9,103.9,9.4,7.6,17.6,6.3,65,34.1,1,5.49,0,1,0,synthetic_physics_based
SYN-00087,36.1,44.0,7.94,0.884,36.3,167.9,15.3,0.0,5.9,5.7,33,30.2,0,1.33,0,0,0,synthetic_physics_based
SYN-00088,34.0,55.4,21.36,0.987,69.4,595.4,4.5,0.0,20.4,12.8,68,25.5,1,2.25,0,2,0,synthetic_physics_based
SYN-00089,39.5,60.8,21.24,3.563,79.3,814.5,14.3,0.0,17.6,10.7,71,18.0,0,3.67,0,2,1,synthetic_physics_based
SYN-00090,30.4,33.6,3.24,0.111,52.8,90.5,0.9,0.0,3.1,1.9,9,26.9,0,1.0,0,0,0,synthetic_physics_based
SYN-00091,22.6,38.2,15.52,1.223,76.5,710.7,8.7,0.0,17.0,7.8,16,23.5,0,0.09,0,0,0,synthetic_physics_based
SYN-00092,35.7,43.1,7.39,0.97,87.9,357.2,15.6,8.9,17.0,12.3,5,20.1,0,0.56,0,0,0,synthetic_physics_based
SYN-00093,36.7,43.5,6.76,0.257,42.2,480.7,7.1,0.0,12.4,8.7,23,19.5,1,0.74,0,0,0,synthetic_physics_based
SYN-00094,32.3,58.7,26.38,0.946,61.4,886.0,11.5,0.0,3.9,2.5,43,25.0,1,4.29,0,1,0,synthetic_physics_based
SYN-00095,37.0,63.4,26.42,3.504,47.2,348.8,4.5,26.1,14.0,8.1,89,30.3,1,0.77,0,1,0,synthetic_physics_based
SYN-00096,30.9,50.8,19.91,0.806,77.6,468.8,15.0,0.0,17.5,9.5,57,34.8,1,6.52,0,2,0,synthetic_physics_based
SYN-00097,31.5,39.7,8.18,3.504,64.7,62.3,1.5,18.5,8.1,5.4,51,21.7,0,3.23,0,0,0,synthetic_physics_based
SYN-00098,29.4,38.2,8.83,0.586,68.1,123.4,17.1,11.5,15.7,8.6,13,26.5,0,0.09,0,0,0,synthetic_physics_based
SYN-00099,20.6,30.9,10.3,0.367,77.9,282.7,4.4,2.4,9.7,5.8,24,25.8,1,0.52,0,0,0,synthetic_physics_based
SYN-00100,22.4,27.2,4.84,0.365,53.8,75.1,17.6,0.0,13.9,8.3,11,28.3,1,0.34,0,0,0,synthetic_physics_based
SYN-00101,20.7,40.3,19.64,1.881,84.9,618.2,7.4,16.4,10.3,9.3,52,34.2,0,6.02,0,0,0,synthetic_physics_based
SYN-00102,34.0,45.4,11.42,0.706,62.0,433.8,14.6,0.0,8.8,3.5,17,29.1,1,1.01,0,0,0,synthetic_physics_based
SYN-00103,26.9,50.1,23.15,1.001,39.5,543.3,6.7,0.0,19.3,10.8,37,34.9,1,5.91,0,0,0,synthetic_physics_based
SYN-00104,31.2,30.3,-0.92,1.435,71.8,207.2,18.2,19.5,17.3,11.4,13,28.4,1,0.55,0,0,0,synthetic_physics_based
SYN-00105,40.0,58.7,18.71,3.522,77.6,316.3,3.0,0.0,9.6,6.5,62,30.1,0,0.43,0,1,0,synthetic_physics_based
SYN-00106,25.5,56.6,31.11,4.461,49.0,647.4,4.0,1.2,11.3,7.2,84,26.7,1,4.76,1,2,1,synthetic_physics_based
SYN-00107,29.0,46.4,17.4,1.271,81.4,918.8,10.1,0.0,16.1,13.4,8,34.5,1,0.7,0,0,0,synthetic_physics_based
SYN-00108,36.6,50.8,14.15,1.451,84.4,95.4,2.1,10.0,18.4,11.8,56,36.5,1,2.94,0,1,0,synthetic_physics_based
SYN-00109,25.0,61.0,35.95,3.413,46.6,851.3,4.3,0.0,16.0,7.9,83,30.8,0,3.2,1,2,1,synthetic_physics_based
SYN-00110,21.7,45.7,24.04,4.173,89.0,569.2,18.9,0.0,13.3,6.2,70,34.4,1,3.55,0,2,1,synthetic_physics_based
SYN-00111,26.4,38.6,12.24,1.1,38.4,557.5,19.5,3.5,21.1,11.6,44,19.2,1,4.7,0,0,0,synthetic_physics_based
SYN-00112,23.5,46.1,22.59,0.3,42.1,500.3,7.8,24.0,17.7,9.1,60,36.1,0,5.14,0,1,0,synthetic_physics_based
SYN-00113,40.5,55.7,15.26,1.481,41.1,112.5,18.5,0.0,5.2,3.0,41,21.8,0,5.48,0,0,0,synthetic_physics_based
SYN-00114,37.8,37.1,-0.64,0.94,83.6,130.9,11.1,11.9,13.6,8.0,21,23.1,1,1.86,0,0,0,synthetic_physics_based
SYN-00115,33.9,50.3,16.37,3.522,69.3,590.8,5.8,0.0,10.8,6.3,86,19.1,1,5.66,0,2,1,synthetic_physics_based
SYN-00116,39.2,58.8,19.6,0.082,39.1,356.9,14.2,28.9,18.1,6.3,42,37.3,1,1.03,0,0,0,synthetic_physics_based
SYN-00117,37.7,73.2,35.47,0.308,56.4,875.5,13.3,0.0,3.8,1.0,74,35.0,0,5.89,1,2,1,synthetic_physics_based
SYN-00118,24.1,50.8,26.66,2.63,66.9,415.9,19.8,0.0,10.8,7.0,74,36.3,1,2.83,0,1,1,synthetic_physics_based
SYN-00119,39.6,50.8,11.18,0.431,35.0,179.0,5.7,0.0,9.0,7.4,29,34.9,1,1.29,0,0,0,synthetic_physics_based
SYN-00120,31.9,56.6,24.76,3.432,82.9,693.2,13.6,0.0,5.7,2.5,80,27.6,0,3.15,0,1,1,synthetic_physics_based
SYN-00121,37.8,62.5,24.74,2.175,78.2,314.0,1.5,0.0,10.2,5.0,65,36.5,1,3.43,0,2,1,synthetic_physics_based
SYN-00122,39.7,54.0,14.3,1.188,60.3,522.9,2.7,0.0,15.8,8.5,17,37.4,0,1.05,0,0,0,synthetic_physics_based
SYN-00123,27.0,49.5,22.45,0.127,88.0,678.0,0.6,13.4,9.9,8.0,30,28.1,0,0.41,0,0,0,synthetic_physics_based
SYN-00124,22.4,48.2,25.79,0.901,55.1,860.2,20.0,0.0,14.0,7.8,26,21.5,1,0.01,0,0,0,synthetic_physics_based
SYN-00125,25.0,49.5,24.5,1.711,89.0,763.0,16.1,24.2,14.3,4.5,53,31.2,1,3.27,0,1,0,synthetic_physics_based
SYN-00126,29.4,40.5,11.14,0.653,70.1,658.7,15.8,0.0,14.2,10.5,19,37.5,0,1.88,0,0,0,synthetic_physics_based
SYN-00127,38.0,65.4,27.37,1.414,68.1,661.7,10.4,0.0,13.1,8.2,53,35.4,0,1.87,0,0,0,synthetic_physics_based
SYN-00128,38.9,77.2,38.22,4.044,40.0,901.3,6.4,0.0,5.2,1.0,85,35.2,0,1.11,1,2,1,synthetic_physics_based
SYN-00129,20.2,29.5,9.39,0.051,82.9,316.2,3.4,0.0,7.2,3.2,17,36.7,0,1.46,0,0,0,synthetic_physics_based
SYN-00130,31.2,39.1,7.87,3.809,55.6,51.0,6.1,0.0,18.2,8.8,46,35.9,0,6.2,0,0,0,synthetic_physics_based
SYN-00131,29.2,57.6,28.38,0.685,39.7,294.8,7.8,1.7,12.5,6.6,85,33.5,1,4.78,0,2,1,synthetic_physics_based
SYN-00132,24.9,44.5,19.62,0.536,30.8,246.1,15.2,0.0,16.4,11.3,53,32.4,0,6.48,0,1,0,synthetic_physics_based
SYN-00133,22.6,49.0,26.37,1.826,63.6,645.7,11.0,0.0,13.8,4.8,64,23.3,1,4.58,0,1,0,synthetic_physics_based
SYN-00134,27.4,46.4,18.98,1.43,61.6,620.3,2.0,0.0,3.7,1.5,45,30.4,0,5.94,0,0,0,synthetic_physics_based
SYN-00135,40.7,58.1,17.33,4.431,73.2,584.1,0.9,0.0,18.1,10.1,49,28.4,1,3.98,0,0,0,synthetic_physics_based
SYN-00136,27.1,31.6,4.45,0.464,83.4,64.6,2.5,9.0,4.2,2.2,19,35.2,1,0.89,0,0,0,synthetic_physics_based
SYN-00137,31.4,62.5,31.06,0.924,34.8,705.9,8.5,0.0,20.9,10.3,71,27.8,1,3.79,1,2,1,synthetic_physics_based
SYN-00138,35.5,60.0,24.56,1.782,73.9,341.2,18.7,0.0,7.1,5.7,81,20.6,0,2.38,0,1,0,synthetic_physics_based
SYN-00139,28.0,52.4,24.36,1.716,41.2,648.6,12.9,15.8,12.7,6.8,65,18.1,1,4.67,0,2,0,synthetic_physics_based
SYN-00140,41.4,62.2,20.85,0.924,81.5,550.9,16.1,0.0,4.2,1.9,37,31.6,1,6.3,0,0,0,synthetic_physics_based
SYN-00141,41.2,63.3,22.15,2.165,79.1,358.5,9.6,12.2,20.0,11.5,70,29.0,1,5.52,0,2,0,synthetic_physics_based
SYN-00142,25.5,34.0,8.44,0.438,62.4,171.1,7.6,0.0,21.6,11.5,26,24.6,1,0.68,0,0,0,synthetic_physics_based
SYN-00143,30.9,34.5,3.56,0.946,72.6,135.0,2.6,0.0,5.8,2.3,2,21.4,0,1.87,0,0,0,synthetic_physics_based
SYN-00144,26.6,51.4,24.8,2.729,48.9,798.4,17.6,0.0,8.6,3.4,59,27.3,1,6.9,0,1,1,synthetic_physics_based
SYN-00145,26.3,44.5,18.22,0.906,58.3,876.6,15.8,0.0,3.3,5.1,5,20.0,1,1.09,0,0,0,synthetic_physics_based
SYN-00146,20.8,31.7,10.9,0.671,79.3,634.8,3.8,9.0,18.0,11.1,37,24.7,1,6.08,0,0,0,synthetic_physics_based
SYN-00147,33.4,36.3,2.88,0.795,57.6,143.1,10.5,0.0,8.9,4.3,31,25.6,1,0.89,0,0,0,synthetic_physics_based
SYN-00148,31.1,47.9,16.88,3.453,51.5,411.8,10.0,0.0,14.2,9.7,76,27.3,1,0.65,0,2,0,synthetic_physics_based
SYN-00149,21.1,39.8,18.68,1.328,59.7,706.0,12.7,0.0,3.7,2.8,48,27.3,1,0.35,0,0,0,synthetic_physics_based
SYN-00150,26.1,44.5,18.39,1.155,79.7,751.8,19.0,0.0,16.6,9.2,6,23.1,1,0.03,0,0,0,synthetic_physics_based
SYN-00151,40.0,42.0,2.01,0.833,50.1,156.4,11.8,11.6,13.1,5.6,15,35.0,1,0.78,0,0,0,synthetic_physics_based
SYN-00152,25.3,24.5,-0.73,0.405,40.4,50.0,11.0,8.0,16.8,8.0,15,25.1,0,1.56,0,0,0,synthetic_physics_based
SYN-00153,23.2,42.1,18.89,2.169,72.7,690.9,1.5,0.0,18.0,11.4,61,22.6,1,1.2,0,1,0,synthetic_physics_based
SYN-00154,30.8,43.9,13.11,0.019,79.6,370.9,1.7,0.0,4.7,3.7,16,21.5,1,1.63,0,0,0,synthetic_physics_based
SYN-00155,41.7,55.8,14.15,1.089,36.0,279.0,4.2,0.0,14.0,5.6,20,24.5,0,1.72,0,0,0,synthetic_physics_based
SYN-00156,25.3,42.6,17.23,4.305,44.4,61.6,1.1,0.0,15.3,7.8,77,19.4,0,0.64,0,2,1,synthetic_physics_based
SYN-00157,34.8,54.3,19.5,0.784,38.5,536.3,15.0,0.0,12.8,8.1,44,18.7,1,3.59,0,0,0,synthetic_physics_based
SYN-00158,36.8,66.6,29.84,0.437,50.9,816.0,14.6,1.0,6.5,5.2,42,30.1,1,1.89,0,0,0,synthetic_physics_based
SYN-00159,25.2,43.9,18.65,3.565,57.0,911.9,3.2,0.0,18.1,10.7,46,30.4,0,2.07,0,0,0,synthetic_physics_based
SYN-00160,36.0,47.9,11.89,0.023,74.9,559.2,16.8,0.0,22.0,11.4,34,28.6,1,0.37,0,0,0,synthetic_physics_based
SYN-00161,28.1,50.8,22.72,3.471,69.1,513.0,3.5,0.0,21.4,12.1,64,33.2,1,6.91,0,2,1,synthetic_physics_based
SYN-00162,33.9,40.8,6.87,1.066,67.3,126.6,6.4,0.0,17.8,9.5,29,18.8,1,1.71,0,0,0,synthetic_physics_based
SYN-00163,33.9,43.8,9.89,0.982,51.1,544.0,5.4,0.0,10.9,6.6,3,36.7,0,1.06,0,0,0,synthetic_physics_based
SYN-00164,31.8,39.9,8.12,1.317,80.5,392.0,7.8,0.0,9.4,7.4,9,19.9,1,0.66,0,0,0,synthetic_physics_based
SYN-00165,22.0,54.1,32.08,2.66,58.3,596.4,5.5,26.2,4.3,1.2,75,31.5,1,3.6,1,1,1,synthetic_physics_based
SYN-00166,38.4,49.7,11.33,4.129,88.7,399.9,10.0,0.0,10.9,6.4,75,20.7,0,5.17,0,2,1,synthetic_physics_based
SYN-00167,27.1,38.0,10.93,1.027,68.0,266.3,8.4,0.0,6.0,3.1,25,35.6,0,0.65,0,0,0,synthetic_physics_based
SYN-00168,24.1,47.2,23.07,3.163,37.6,135.5,19.7,10.8,7.8,3.9,86,28.2,0,1.58,0,1,0,synthetic_physics_based
SYN-00169,20.9,31.6,10.72,1.27,70.6,333.4,1.6,0.0,19.9,10.8,42,19.6,1,4.65,0,0,0,synthetic_physics_based
SYN-00170,33.0,47.3,14.34,0.81,49.5,137.0,3.3,0.0,21.4,13.7,46,30.3,0,4.72,0,0,0,synthetic_physics_based
SYN-00171,34.9,53.2,18.26,0.546,71.2,209.2,1.5,0.0,21.0,12.4,73,18.2,1,3.33,0,1,0,synthetic_physics_based
SYN-00172,20.4,58.5,38.12,4.3,34.2,938.6,12.7,0.0,6.7,3.0,84,33.5,0,2.04,1,2,1,synthetic_physics_based
SYN-00173,31.3,61.9,30.63,2.873,40.5,449.7,1.6,0.0,20.1,12.0,59,31.0,1,5.86,1,2,1,synthetic_physics_based
SYN-00174,25.0,41.0,15.98,0.272,81.3,528.7,16.8,0.0,5.7,2.3,21,22.3,0,0.12,0,0,0,synthetic_physics_based
SYN-00175,34.2,63.9,29.71,3.901,43.6,836.3,10.5,0.0,12.6,4.3,74,25.5,1,4.68,0,2,1,synthetic_physics_based
SYN-00176,23.8,44.1,20.22,0.497,80.2,946.0,10.8,17.9,15.2,4.9,22,18.2,1,1.82,0,0,0,synthetic_physics_based
SYN-00177,35.2,54.8,19.61,0.534,46.8,574.4,11.5,0.0,11.8,7.2,29,31.9,0,1.46,0,0,0,synthetic_physics_based
SYN-00178,28.5,60.2,31.69,0.832,68.6,781.2,3.8,0.0,21.1,11.2,63,24.5,0,1.64,1,2,1,synthetic_physics_based
SYN-00179,40.6,68.3,27.72,4.109,71.6,344.2,4.4,23.9,9.3,6.6,73,29.4,1,4.62,0,1,0,synthetic_physics_based
SYN-00180,23.0,48.8,25.74,2.78,60.8,325.2,6.7,0.0,13.0,7.7,61,37.1,0,1.74,0,2,1,synthetic_physics_based
SYN-00181,27.5,43.7,16.17,3.401,48.3,412.4,12.1,0.0,4.4,2.8,64,24.0,1,3.5,0,1,1,synthetic_physics_based
SYN-00182,22.5,55.9,33.36,0.432,42.8,655.3,4.6,20.5,19.2,9.9,69,37.8,0,2.43,1,1,0,synthetic_physics_based
